index,open,high,low,close,volume,amount,date
1,5338.752,5427.231,5314.339,5417.017,12878760192,139343032320.0,2015-01-05
2,5389.903,5482.124,5354.338,5479.864,12375449600,140328099840.0,2015-01-06
3,5471.402,5492.825,5436.918,5488.242,9605049344,111787081728.0,2015-01-07
4,5482.394,5497.744,5418.011,5444.037,9563461632,108520980480.0,2015-01-08
5,5424.501,5497.689,5409.058,5409.058,9064080896,105390252032.0,2015-01-09
6,5386.584,5386.584,5303.732,5332.221,7802642944,89363509248.0,2015-01-12
7,5333.968,5407.629,5333.968,5405.091,6869376512,84711071744.0,2015-01-13
8,5404.374,5417.802,5350.165,5379.738,6708649728,83215912960.0,2015-01-14
9,5380.447,5449.255,5380.336,5449.038,6788551424,81580601344.0,2015-01-15
10,5459.185,5520.785,5454.239,5520.123,8450684416,104671600640.0,2015-01-16
11,5359.47,5475.66,5222.04,5281.895,10533627136,121918328832.0,2015-01-19
12,5303.181,5472.736,5303.181,5472.514,9193795328,113837154304.0,2015-01-20
13,5490.84,5611.982,5490.526,5611.694,11016742912,137794973696.0,2015-01-21
14,5617.609,5690.43,5610.09,5690.156,10541262080,134778392576.0,2015-01-22
15,5697.837,5699.726,5611.066,5633.289,9944033792,124087906304.0,2015-01-23
16,5644.031,5759.367,5636.204,5758.979,10129879296,126015651840.0,2015-01-26
17,5767.737,5783.99,5670.431,5773.816,11431798784,139606298624.0,2015-01-27
18,5756.682,5798.571,5722.494,5739.919,10238641408,123833495552.0,2015-01-28
19,5692.387,5739.486,5670.505,5701.205,8453858048,102904619008.0,2015-01-29
20,5708.284,5735.932,5631.565,5632.728,8059327232,100020596736.0,2015-01-30
21,5568.435,5652.667,5539.523,5609.389,7187186432,87828910080.0,2015-02-02
22,5627.399,5708.281,5627.399,5707.476,7543255808,98565931008.0,2015-02-03
23,5720.975,5734.328,5680.833,5683.519,8092671488,104846864384.0,2015-02-04
24,5741.193,5745.136,5654.217,5654.217,8832435456,114976817152.0,2015-02-05
25,5640.025,5657.662,5510.763,5534.785,7627760896,95597146112.0,2015-02-06
26,5526.144,5551.898,5492.546,5504.974,5587343872,71258537984.0,2015-02-09
27,5502.725,5581.341,5500.535,5580.704,5497377024,72864169984.0,2015-02-10
28,5587.639,5642.297,5587.44,5641.786,5805956608,78478438400.0,2015-02-11
29,5647.546,5689.743,5640.858,5681.341,6269177344,86260854784.0,2015-02-12
30,5709.156,5789.382,5709.156,5769.272,8230636800,110777389056.0,2015-02-13
31,5786.153,5870.082,5786.038,5869.713,8230557440,113009192960.0,2015-02-16
32,5888.871,5914.285,5877.948,5911.098,8093887232,107302051840.0,2015-02-17
33,5926.234,5952.709,5887.366,5906.538,8355061504,109965828096.0,2015-02-25
34,5903.262,5970.06,5897.715,5969.557,9092074496,113711185920.0,2015-02-26
35,5974.359,6025.115,5970.681,6018.463,9656068096,125337251840.0,2015-02-27
36,6064.821,6139.792,6039.254,6139.792,12723533056,168615018496.0,2015-03-02
37,6124.276,6199.497,6099.131,6118.656,14695326208,191869231104.0,2015-03-03
