bin,mean_conf,min_conf,max_conf,count,mean_rise,median_rise,q25,q75
1,0.07590767346378231,0.0644252794791093,0.0829605101975692,7,0.03638650328910477,0.0397915437046791,0.0245869730618501,0.0529503442260149
2,0.08631034479348901,0.0835831544808966,0.0893364971773686,5,0.058520759574210504,0.0424849176292157,0.0422181216142892,0.0887592448486264
3,0.09751643505231189,0.0895449917601177,0.1042342542627847,6,0.056603470138142764,0.0608699082337629,0.04973409491362865,0.06457203085490125
4,0.1225085787067484,0.1072946293468609,0.1318073179003616,6,0.05562766350121995,0.0520373212518796,0.04917829700259117,0.05331204983282047
5,0.13988181149823617,0.1357344955734382,0.1441187493490807,6,0.06548124590798432,0.08013128676243245,0.058651250671625674,0.08877802532497947
6,0.14775166376361737,0.1445179079506912,0.1547714856399593,6,0.04034790242417343,0.0281592149461252,0.003445172109888025,0.07002611577139405
7,0.2731982236993185,0.1907826284913459,0.3402827986987078,6,0.06206951712610321,0.08402486091924614,0.0174410810423279,0.10055614087508215
8,0.4211974801999194,0.3421581291085389,0.4823886528258254,6,0.09308223771429495,0.08804008940009266,0.08331973340580714,0.09877293276817865
9,0.7106547406800011,0.6286053543723704,0.7584398733473069,6,0.10510220146821862,0.1120331985834482,0.08785235810418812,0.11692699065203724
10,0.8459655769514179,0.7634323586827921,0.90077527670734,6,0.12556435851183076,0.12623029623366686,0.12255420871789138,0.13228878010686557
