日期,预测价格,预测低点,置信度,策略置信度,使用阈值,实际低点,趋势状态,未来最大涨幅,涨幅天数,预测正确,策略原因,策略指标
2025-06-03,5694.838,True,0.8375855577538747,0.8,0.5,True,bear,0.04211392843835072,20,True,RSI偏低(40.41) | MACD负值(-8.2332) | 价格接近布林带下轨 | 弱趋势调整(+0.200) | 置信度达阈值(0.80 ≥ 0.50),"{""ma5"": 5675.040800000001, ""ma10"": 5690.6277, ""ma20"": 5720.9416, ""rsi"": 40.40967890151445, ""macd"": -8.233235523325675, ""bb_lower"": 5624.995603649323, ""trend_regime"": ""bear""}"
2025-06-04,5739.006,True,0.7884137026470478,0.55,0.5,False,sideways,0.03409370891056739,19,False,RSI偏低(43.73) | MACD负值(-3.8337) | 弱趋势调整(+0.200) | 置信度达阈值(0.55 ≥ 0.50),"{""ma5"": 5692.4128, ""ma10"": 5689.7916, ""ma20"": 5720.8752, ""rsi"": 43.73056216664968, ""macd"": -3.8337306867952066, ""bb_lower"": 5624.983889033018, ""trend_regime"": ""sideways""}"
2025-06-05,5769.967,True,0.6533954020689307,0.12,0.5,False,sideways,0.02854487729305912,18,False,弱趋势调整(+0.200) | 基础置信度保留(0.6倍),"{""ma5"": 5718.9586, ""ma10"": 5690.996099999999, ""ma20"": 5721.8589999999995, ""rsi"": 56.40849511547266, ""macd"": 2.126687412330284, ""bb_lower"": 5624.307620820816, ""trend_regime"": ""sideways""}"
2025-06-06,5762.078,True,0.7704043936172007,0.18000000000000002,0.5,False,sideways,0.029953082898218252,17,False,单日微跌(-0.14%) | 弱趋势调整(+0.200) | 基础置信度保留(0.6倍),"{""ma5"": 5727.3922, ""ma10"": 5696.875900000001, ""ma20"": 5721.272599999999, ""rsi"": 55.32730872323906, ""macd"": 6.142972961077248, ""bb_lower"": 5624.902163545377, ""trend_regime"": ""sideways""}"
2025-06-09,5805.654,True,0.6713010947095023,0.12,0.5,False,sideways,0.029641794016660176,21,False,弱趋势调整(+0.200) | 基础置信度保留(0.6倍),"{""ma5"": 5754.3086, ""ma10"": 5712.137, ""ma20"": 5725.46915, ""rsi"": 58.97946528907963, ""macd"": 12.695778186322059, ""bb_lower"": 5621.97006581955, ""trend_regime"": ""sideways""}"
2025-06-10,5757.992,True,0.8491809773561172,0.6000000000000001,0.5,False,bull,0.03908636899808131,22,False,"单日微跌(-0.82%) | 弱趋势调整(+0.200) | 多头趋势: RSI健康回撤(59.0→51.1, -7.9) | 置信度达阈值(0.60 ≥ 0.50)","{""ma5"": 5766.9394, ""ma10"": 5720.9901, ""ma20"": 5723.68505, ""rsi"": 51.07626107409337, ""macd"": 13.882964295145939, ""bb_lower"": 5623.975512920581, ""trend_regime"": ""bull""}"
2025-06-11,5792.946,True,0.8571749691282594,0.5,0.5,True,bull,0.04041691395017316,22,True,弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 5777.7274, ""ma10"": 5735.0701, ""ma20"": 5724.24895, ""rsi"": 53.38065582251947, ""macd"": 17.443238718922657, ""bb_lower"": 5623.042378529553, ""trend_regime"": ""bull""}"
2025-06-12,5799.932,True,0.8821470601353333,0.5,0.5,False,bull,0.03916373502310026,21,False,弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 5783.7204, ""ma10"": 5751.3395, ""ma20"": 5724.2896, ""rsi"": 60.27447645370473, ""macd"": 20.59113191454435, ""bb_lower"": 5622.955837102907, ""trend_regime"": ""bull""}"
2025-06-13,5740.24,True,0.902503545705169,0.8200000000000001,0.5,True,bull,0.04996986188730784,20,True,温和放量(量比1.4) | 单日下跌(-1.03%) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.82 ≥ 0.50),"{""ma5"": 5779.3528, ""ma10"": 5753.3724999999995, ""ma20"": 5725.5368, ""rsi"": 59.08671231020939, ""macd"": 18.061018242571663, ""bb_lower"": 5624.055202081848, ""trend_regime"": ""bull""}"
2025-06-16,5767.808,True,0.911142486378839,0.5,0.5,True,bull,0.04495139227935461,19,True,弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 5771.783600000001, ""ma10"": 5763.0461000000005, ""ma20"": 5728.13475, ""rsi"": 60.015887403122505, ""macd"": 18.072068576580932, ""bb_lower"": 5625.049747877151, ""trend_regime"": ""bull""}"
2025-06-17,5750.912,True,0.9101212933996756,0.6000000000000001,0.5,True,bull,0.057652073271161106,22,True,单日微跌(-0.29%) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.60 ≥ 0.50),"{""ma5"": 5770.3676, ""ma10"": 5768.6535, ""ma20"": 5729.640600000001, ""rsi"": 60.06715103478655, ""macd"": 16.52694768639958, ""bb_lower"": 5626.12803945964, ""trend_regime"": ""bull""}"
2025-06-18,5745.872,True,0.9110694236594175,0.8,0.5,True,bull,0.06156384966459388,22,True,单日微跌(-0.09%) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.95) | 置信度达阈值(0.80 ≥ 0.50),"{""ma5"": 5760.9528, ""ma10"": 5769.340099999999, ""ma20"": 5729.56585, ""rsi"": 61.3003153944095, ""macd"": 14.725990320172968, ""bb_lower"": 5626.105041515331, ""trend_regime"": ""bull""}"
2025-06-19,5676.832,True,0.8873046095368496,1.0,0.5,True,sideways,0.07447428424867943,21,True,价格低于MA5/MA10/MA20 | RSI偏低(45.39) | 价格接近布林带下轨 | 单日下跌(-1.20%) | 弱趋势调整(+0.200) | 最低信号确认(+0.075) | 置信度达阈值(1.32 ≥ 0.50),"{""ma5"": 5736.3328, ""ma10"": 5760.0266, ""ma20"": 5725.51135, ""rsi"": 45.38814994989683, ""macd"": 7.639701895692269, ""bb_lower"": 5620.387194804496, ""trend_regime"": ""sideways""}"
2025-06-20,5639.513,True,0.8679011597760566,1.0,0.5,True,sideways,0.08158452689088574,20,True,价格低于MA5/MA10/MA20 | RSI偏低(46.54) | MACD负值(-0.9763) | 价格接近布林带下轨 | 单日微跌(-0.66%) | 弱趋势调整(+0.200) | 最低信号确认(+0.075) | 置信度达阈值(1.38 ≥ 0.50),"{""ma5"": 5716.187400000001, ""ma10"": 5747.7701, ""ma20"": 5722.322999999999, ""rsi"": 46.535914137123285, ""macd"": -0.9763098544935929, ""bb_lower"": 5610.693123041037, ""trend_regime"": ""sideways""}"
2025-06-23,5674.17,True,0.8738268481419929,1.0,0.5,True,sideways,0.09503363487523286,21,True,价格低于MA5/MA10/MA20 | RSI偏低(47.78) | MACD负值(-4.9510) | 价格接近布林带下轨 | 弱趋势调整(+0.200) | 最低信号确认(+0.075) | 置信度达阈值(1.27 ≥ 0.50),"{""ma5"": 5697.4598, ""ma10"": 5734.6217, ""ma20"": 5723.379350000001, ""rsi"": 47.784343321726936, ""macd"": -4.950959404018249, ""bb_lower"": 5614.135522960669, ""trend_regime"": ""sideways""}"
2025-06-24,5765.837,True,0.800898459449168,0.6499999999999999,0.5,True,bull,0.09153241758308454,22,True,MACD负值(-0.6961) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.65 ≥ 0.50),"{""ma5"": 5700.4448, ""ma10"": 5735.406199999999, ""ma20"": 5728.19815, ""rsi"": 52.61049178158696, ""macd"": -0.6961126476171557, ""bb_lower"": 5620.47671372988, ""trend_regime"": ""bull""}"
2025-06-25,5862.553,True,0.7370231800302072,0.62,0.5,True,bull,0.07454738575497748,22,True,温和放量(量比1.5) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.62 ≥ 0.50),"{""ma5"": 5723.781, ""ma10"": 5742.3669, ""ma20"": 5738.718500000001, ""rsi"": 57.98620575438793, ""macd"": 10.360626123326256, ""bb_lower"": 5621.584026563941, ""trend_regime"": ""bull""}"
2025-06-26,5838.245,True,0.6880975513723407,0.252,0.5,True,bull,0.07902134973780656,21,True,温和放量(量比1.4) | 单日微跌(-0.41%) | 弱趋势调整(+0.200) | 基础置信度保留(0.6倍),"{""ma5"": 5756.0635999999995, ""ma10"": 5746.198200000001, ""ma20"": 5748.76885, ""rsi"": 56.38898069222132, ""macd"": 16.96614366610629, ""bb_lower"": 5633.82323838672, ""trend_regime"": ""bull""}"
2025-06-27,5863.728,True,0.7015608805194824,0.62,0.5,True,bull,0.07433206315163328,20,True,温和放量(量比1.5) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.62 ≥ 0.50),"{""ma5"": 5800.9066, ""ma10"": 5758.5470000000005, ""ma20"": 5755.95975, ""rsi"": 55.02380672263089, ""macd"": 23.980892240465437, ""bb_lower"": 5631.053101213438, ""trend_regime"": ""bull""}"
2025-06-30,5915.388,True,0.7006896342304253,0.62,0.5,True,bull,0.07450821484575482,21,True,温和放量(量比1.2) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.62 ≥ 0.50),"{""ma5"": 5849.1502, ""ma10"": 5773.305, ""ma20"": 5768.17555, ""rsi"": 63.52231840628467, ""macd"": 33.32451699541434, ""bb_lower"": 5631.035699572255, ""trend_regime"": ""bull""}"
2025-07-01,5934.67,True,0.7192643160606914,0.5,0.5,True,bull,0.07101709109352326,20,True,弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.50 ≥ 0.50),"{""ma5"": 5882.916800000001, ""ma10"": 5791.6808, ""ma20"": 5780.16715, ""rsi"": 62.512846230183264, ""macd"": 41.80341938751917, ""bb_lower"": 5628.821679417666, ""trend_regime"": ""bull""}"
2025-07-02,5892.951,True,0.88334029035154,0.9000000000000001,0.5,True,bull,0.07859932994521757,19,True,"单日微跌(-0.70%) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(62.5→57.7, -4.8) | 置信度达阈值(0.90 ≥ 0.50)","{""ma5"": 5888.9964, ""ma10"": 5806.3887, ""ma20"": 5787.8644, ""rsi"": 57.738080383064904, ""macd"": 44.6420304424455, ""bb_lower"": 5629.82250158279, ""trend_regime"": ""bull""}"
