日期,预测价格,预测低点,置信度,使用阈值,实际低点,趋势状态,未来最大涨幅,达标用时(天),预测正确,策略原因,策略指标
2025-04-17,5557.011,True,0.32689883744471665,0.12,True,bear,0.04356802604853567,10.0,True,成交量偏低(量比0.7) | RSI超卖(32.79) | MACD负值(-108.8684) | 置信度达阈值(0.53 ≥ 0.10),"{""ma5"": 5584.973, ""ma10"": 5536.8151, ""ma20"": 5739.37185, ""rsi"": 32.78838692712961, ""macd"": -108.8684139151901, ""bb_lower"": 5263.6830911815905, ""trend_regime"": ""bear""}"
2025-04-18,5560.721,True,0.3180655810561163,0.12,True,bear,0.04287177867762115,9.0,True,成交量偏低(量比0.7) | RSI超卖(34.22) | MACD负值(-105.8627) | 置信度达阈值(0.53 ≥ 0.10),"{""ma5"": 5580.8535999999995, ""ma10"": 5508.336799999999, ""ma20"": 5714.4336, ""rsi"": 34.220535021165986, ""macd"": -105.86271305104037, ""bb_lower"": 5257.479437049692, ""trend_regime"": ""bear""}"
2025-04-21,5642.38,True,0.28360631553709886,0.12,False,bear,0.02777888054331675,0.0,False,成交量偏低(量比0.8) | RSI偏低(40.63) | MACD负值(-95.7873) | 置信度达阈值(0.38 ≥ 0.10),"{""ma5"": 5583.902, ""ma10"": 5543.8715, ""ma20"": 5697.9561, ""rsi"": 40.629116772328686, ""macd"": -95.7872982651561, ""bb_lower"": 5256.596734888877, ""trend_regime"": ""bear""}"
2025-04-22,5624.209,True,0.2993691620120304,0.12,False,bear,0.031099484389715933,0.0,False,RSI偏低(38.14) | MACD负值(-88.2514) | 单日微跌(-0.32%) | 置信度达阈值(0.45 ≥ 0.10),"{""ma5"": 5588.237, ""ma10"": 5573.601000000001, ""ma20"": 5680.7126, ""rsi"": 38.13795143749087, ""macd"": -88.25140009085771, ""bb_lower"": 5257.373699908022, ""trend_regime"": ""bear""}"
2025-04-23,5634.949,True,0.2892151057068652,0.12,False,bear,0.029134247710139005,0.0,False,RSI偏低(38.38) | MACD负值(-80.4847) | 置信度达阈值(0.35 ≥ 0.10),"{""ma5"": 5603.854, ""ma10"": 5593.1188, ""ma20"": 5665.1125, ""rsi"": 38.38303606691768, ""macd"": -80.48474026665372, ""bb_lower"": 5260.502401881396, ""trend_regime"": ""bear""}"
2025-04-24,5605.879,True,0.326279263004904,0.12,True,bear,0.03447095451043446,9.0,True,RSI偏低(39.23) | MACD负值(-75.8015) | 单日微跌(-0.52%) | 置信度达阈值(0.45 ≥ 0.10),"{""ma5"": 5613.6276, ""ma10"": 5599.3003, ""ma20"": 5647.9815, ""rsi"": 39.22885574375621, ""macd"": -75.80151971758642, ""bb_lower"": 5265.482624723268, ""trend_regime"": ""bear""}"
2025-04-25,5627.18,True,0.30952272236502454,0.12,False,bear,0.03055509153785722,0.0,False,MACD负值(-69.5693) | 弱趋势调整(+0.200) | 置信度达阈值(0.35 ≥ 0.10),"{""ma5"": 5626.9194, ""ma10"": 5603.8865, ""ma20"": 5631.4604, ""rsi"": 79.56889792185706, ""macd"": -69.56926977495459, ""bb_lower"": 5277.814870060137, ""trend_regime"": ""bear""}"
2025-04-28,5598.295,True,0.33294857538727823,0.12,True,bear,0.03587235042097632,3.0,True,价格低于MA5/MA10/MA20 | MACD负值(-66.1979) | 单日微跌(-0.51%) | 弱趋势调整(+0.200) | 置信度达阈值(0.85 ≥ 0.10),"{""ma5"": 5618.1024, ""ma10"": 5601.002200000001, ""ma20"": 5615.573600000001, ""rsi"": 74.05088083434214, ""macd"": -66.19785720138225, ""bb_lower"": 5288.181601541823, ""trend_regime"": ""bear""}"
2025-04-29,5604.906,True,0.3361113660260729,0.12,True,sideways,0.03465053651211987,6.0,True,MACD负值(-62.2747) | 弱趋势调整(+0.200) | 置信度达阈值(0.35 ≥ 0.10),"{""ma5"": 5614.2418, ""ma10"": 5601.2394, ""ma20"": 5602.9303, ""rsi"": 68.03039732713155, ""macd"": -62.27467233945026, ""bb_lower"": 5296.031415524657, ""trend_regime"": ""sideways""}"
2025-04-30,5631.825,True,0.42823744248323903,0.12,False,bull,0.029705113351355887,0.0,False,"MACD负值(-56.3439) | 弱趋势调整(+0.200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(68.0→61.5, -6.5) | 多头趋势: 回撤缩量(量比0.92) | 置信度达阈值(1.15 ≥ 0.10)","{""ma5"": 5613.617, ""ma10"": 5608.7355, ""ma20"": 5589.8790500000005, ""rsi"": 61.53047737419222, ""macd"": -56.343884514981255, ""bb_lower"": 5314.288711827469, ""trend_regime"": ""bull""}"
