日期,预测价格,预测低点,置信度,使用阈值,实际低点,趋势状态,未来最大涨幅,达标用时(天),预测正确
2025-04-01,5892.85,True,0.87,0.18,False,bear,0.11%,0,False
2025-04-02,5899.086,True,0.89,0.18,False,bear,-0.91%,0,False
2025-04-03,5845.504,True,0.86,0.18,False,bear,-3.47%,0,False
2025-04-07,5287.033,True,0.81,0.18,True,bear,8.76%,2,True
2025-04-08,5326.914,True,0.74,0.18,True,bear,8.39%,1,True
2025-04-09,5439.771,True,0.65,0.18,True,bear,6.14%,16,True
2025-04-10,5544.064,True,0.56,0.18,True,bear,4.14%,14,True
2025-04-11,5581.318,True,0.55,0.18,False,bear,3.45%,0,False
2025-04-14,5627.138,True,0.40,0.18,False,bear,3.06%,0,False
2025-04-15,5602.534,True,0.32,0.18,True,bear,3.51%,12,True
2025-04-16,5556.864,True,0.32,0.18,True,bear,4.36%,11,True
2025-04-17,5557.011,True,0.33,0.18,True,bear,4.36%,10,True
2025-04-18,5560.721,True,0.32,0.18,True,bear,4.29%,9,True
2025-04-21,5642.38,True,0.28,0.18,False,bear,2.78%,0,False
2025-04-22,5624.209,True,0.30,0.18,False,bear,3.11%,0,False
2025-04-23,5634.949,True,0.29,0.18,False,bear,2.91%,0,False
2025-04-24,5605.879,True,0.33,0.18,True,bear,3.45%,9,True
2025-04-25,5627.18,True,0.31,0.18,False,bear,3.06%,0,False
2025-04-28,5598.295,True,0.33,0.18,True,bear,3.59%,3,True
2025-04-29,5604.906,True,0.34,0.18,True,sideways,3.47%,6,True
2025-04-30,5631.825,True,0.43,0.18,False,bull,2.97%,0,False
2025-05-06,5740.334,True,0.48,0.18,False,bull,1.02%,0,False
2025-05-07,5750.291,True,0.41,0.18,False,bull,0.85%,0,False
2025-05-08,5773.806,True,0.54,0.18,False,bull,0.44%,0,False
2025-05-09,5721.723,True,0.74,0.18,False,bull,1.35%,0,False
2025-05-12,5793.674,True,0.65,0.18,False,bull,0.21%,0,False
2025-05-13,5781.668,False,0.81,0.18,False,bull,0.41%,0,True
2025-05-14,5799.119,False,0.81,0.18,False,bull,0.11%,0,True
2025-05-15,5715.296,False,0.88,0.18,False,bull,1.58%,0,True
2025-05-16,5715.849,False,0.88,0.18,False,bull,1.57%,0,True
2025-05-19,5720.795,False,0.87,0.18,False,bull,1.48%,0,True
2025-05-20,5747.367,False,0.88,0.18,False,bull,1.01%,0,True
2025-05-21,5757.922,False,0.87,0.18,False,bull,0.83%,0,True
2025-05-22,5703.28,False,0.88,0.18,False,bull,1.80%,0,True
2025-05-23,5653.043,True,0.87,0.18,False,sideways,2.70%,0,False
2025-05-26,5669.461,True,0.87,0.18,False,sideways,3.41%,0,False
2025-05-27,5652.146,True,0.85,0.18,True,sideways,3.72%,20,True
2025-05-28,5637.238,True,0.82,0.18,True,bear,4.02%,18,True
2025-05-29,5719.91,True,0.77,0.18,False,sideways,2.51%,0,False
2025-05-30,5671.072,True,0.83,0.18,True,bear,3.40%,17,True
